"Step","Fcrimnet_20datasetBaseline - test/micro_auc","Fcrimnet_20datasetBaseline - test/micro_auc__MIN","Fcrimnet_20datasetBaseline - test/micro_auc__MAX","Fcrimnet_FulldatasetBaseline - test/micro_auc","Fcrimnet_FulldatasetBaseline - test/micro_auc__MIN","Fcrimnet_FulldatasetBaseline - test/micro_auc__MAX"
"81","0.852097116737316","0.852097116737316","0.852097116737316","","",""
"82","0.8498229143923088","0.8498229143923088","0.8498229143923088","","",""
"83","0.852442458219429","0.852442458219429","0.852442458219429","","",""
"84","0.8525314823355044","0.8525314823355044","0.8525314823355044","","",""
"85","0.8519239914912218","0.8519239914912218","0.8519239914912218","","",""
"86","0.8540502418729383","0.8540502418729383","0.8540502418729383","","",""
"87","0.8524200417812502","0.8524200417812502","0.8524200417812502","","",""
"88","0.8483399118329835","0.8483399118329835","0.8483399118329835","","",""
"89","0.8557961707320652","0.8557961707320652","0.8557961707320652","","",""
"90","0.8488636527170217","0.8488636527170217","0.8488636527170217","","",""
"91","0.8495286222344429","0.8495286222344429","0.8495286222344429","","",""
"92","0.8502933063226308","0.8502933063226308","0.8502933063226308","","",""
"93","0.8481958139549436","0.8481958139549436","0.8481958139549436","","",""
"94","0.8526147860576561","0.8526147860576561","0.8526147860576561","","",""
"95","0.8536152852983724","0.8536152852983724","0.8536152852983724","","",""
"96","0.8494735141381132","0.8494735141381132","0.8494735141381132","","",""
"97","0.8520278256332158","0.8520278256332158","0.8520278256332158","","",""
"98","0.8511661444864803","0.8511661444864803","0.8511661444864803","","",""
"99","0.8499800903107089","0.8499800903107089","0.8499800903107089","","",""
"100","0.8529883873174585","0.8529883873174585","0.8529883873174585","","",""
